wsg_id,family,species,wsg,wsg_specificity,sample_size,site,ref_id
NA,Rosaceae,Prunus avium,0.47,NA,NA,SCBI,NA
NA,Rosaceae,Prunus persica,0.47,NA,NA,SCBI,NA
NA,Rosaceae,Prunus serotina,0.47,NA,NA,SCBI,NA
NA,Fagaceae,Quercus alba,0.6,NA,29,SCBI,NA
NA,Fagaceae,Quercus coccinea,0.6,NA,NA,SCBI,NA
NA,Fagaceae,Quercus falcata,0.52,NA,NA,SCBI,NA
NA,Fagaceae,Quercus michauxii,0.6,NA,NA,SCBI,NA
NA,Fagaceae,Quercus montana,0.57,NA,NA,SCBI,NA
NA,Fagaceae,Quercus muehlenbergii,0.6,NA,NA,SCBI,NA
NA,Fagaceae,Quercus rubra,0.56,NA,NA,SCBI,NA
NA,Fagaceae,Quercus velutina,0.56,species,19,SCBI,NA
NA,Fagaceae,Quercus velutina,0.56,species,26,SCBI,NA
NA,Fabaceae,Robinia pseudoacacia,0.6,species,9,SCBI,NA
NA,Fabaceae,Robinia pseudoacacia,0.66,species,9,SCBI,NA
NA,Rosaceae,Rosa multiflora,NRA,NA,32,SCBI,NA
NA,Rosaceae,Rubus allegheniensis,NRA,NA,26,SCBI,NA
NA,Rosaceae,Rubus pensilvanicus,NRA,NA,26,SCBI,NA
NA,Rosaceae,Rubus phoenicolasius,NRA,NA,26,SCBI,NA
NA,Adoxaceae,Sambucus canadensis,0.5,NA,NA,SCBI,NA
NA,Lauraceae,Sassafras albidum,0.42,NA,41,SCBI,NA
NA,Malvaceae,Tilia americana,0.32,NA,NA,SCBI,NA
NA,Ulmaceae,Ulmus americana,0.46,NA,NA,SCBI,NA
NA,Ulmaceae,Ulmus rubra,0.48,NA,NA,SCBI,NA
NA,Adoxaceae,Viburnum acerifolium,0.83,NA,19,SCBI,NA
NA,Adoxaceae,Viburnum prunifolium,0.83,NA,19,SCBI,NA
NA,Adoxaceae,Viburnum recognitum,0.83,NA,19,SCBI,NA
NA,Aceraceae,Acer negundo,0.44,NA,NA,SERC,NA
NA,Aceraceae,Acer rubrum,0.49,NA,NA,SERC,NA
NA,Simaroubaceae,Ailanthus altissima,0.33,NA,NA,SERC,NA
NA,Fabaceae,Albizia julibrissin,0.57,NA,NA,SERC,NA
NA,Rosaceae,Amelanchier arborea,0.66,NA,NA,SERC,NA
NA,Rosaceae,Amelanchier canadensis,0.66,NA,NA,SERC,NA
NA,Araliaceae,Aralia spinosa,0.5,NA,NA,SERC,NA
NA,Annonaceae,Asimina triloba,0.47,NA,NA,SERC,NA
NA,Moraceae,Broussonetia papyrifera,0.59,NA,NA,SERC,NA
NA,Betulaceae,Carpinus caroliniana,0.58,NA,NA,SERC,NA
NA,Juglandaceae,Carya alba,0.62,NA,10,SERC,NA
NA,Juglandaceae,Carya cordiformis,0.6,NA,10,SERC,NA
NA,Juglandaceae,Carya glabra,0.66,NA,10,SERC,NA
NA,Juglandaceae,Carya sp.,0.62,NA,10,SERC,NA
NA,Cannabaceae,Celtis occidentalis,0.49,NA,NA,SERC,NA
NA,Rubiaceae,Cephalanthus occidentalis,0.5,NA,NA,SERC,NA
NA,Fabaceae,Cercis canadensis,0.63,NA,NA,SERC,NA
NA,Cornaceae,Cornus florida,0.64,NA,NA,SERC,NA
NA,Elaeagnaceae,Elaeagnus angustifolia,0.5,NA,NA,SERC,NA
NA,Elaeagnaceae,Elaeagnus umbellata,0.5,NA,NA,SERC,NA
NA,Fagaceae,Fagus grandifolia,0.56,NA,NA,SERC,NA
NA,Oleaceae,Fraxinus americana,0.51,NA,32,SERC,NA
NA,Oleaceae,Fraxinus pennsylvanica,0.53,NA,NA,SERC,NA
NA,Aquifoliaceae,Ilex opaca,0.5,NA,NA,SERC,NA
NA,Aquifoliaceae,Ilex verticillata,0.5,NA,NA,SERC,NA
NA,Juglandaceae,Juglans nigra,0.51,NA,NA,SERC,NA
NA,Cupressaceae,Juniperus virginiana,0.44,NA,NA,SERC,NA
NA,Ericaceae,Kalmia latifolia,0.5,NA,NA,SERC,NA
NA,Oleaceae,Ligustrum sp.,0.5,NA,NA,SERC,NA
NA,Lauraceae,Lindera benzoin,0.5,NA,NA,SERC,NA
NA,Altingiaceae,Liquidambar styraciflua,0.46,NA,NA,SERC,NA
NA,Magnoliaceae,Liriodendron tulipifera,0.4,NA,NA,SERC,NA
NA,Caprifoliaceae,Lonicera maackii,NRA,NA,20,SERC,NA
NA,Moraceae,Morus rubra,0.59,NA,NA,SERC,NA
NA,Nyssaceae,Nyssa sylvatica,0.46,NA,NA,SERC,NA
NA,Scrophulariaceae,Paulownia tomentosa,0.38,NA,NA,SERC,NA
NA,Pinaceae,Pinus taeda,0.47,NA,NA,SERC,NA
NA,Pinaceae,Pinus virginiana,0.45,NA,NA,SERC,NA
NA,Platanaceae,Platanus occidentalis,0.46,NA,NA,SERC,NA
NA,Salicaceae,Populus grandidentata,0.36,NA,NA,SERC,NA
NA,Rosaceae,Prunus avium,0.47,NA,NA,SERC,NA
NA,Rosaceae,Prunus serotina,0.47,NA,NA,SERC,NA
NA,Fagaceae,Quercus alba,0.6,NA,10,SERC,NA
NA,Fagaceae,Quercus coccinea,0.6,NA,NA,SERC,NA
NA,Fagaceae,Quercus falcata,0.52,NA,NA,SERC,NA
NA,Fagaceae,Quercus michauxii,0.6,NA,NA,SERC,NA
NA,Fagaceae,Quercus montana,0.57,NA,NA,SERC,NA
NA,Fagaceae,Quercus palustris,0.58,NA,NA,SERC,NA
NA,Fagaceae,Quercus rubra,0.56,NA,NA,SERC,NA
NA,Fagaceae,Quercus sp.,0.59,NA,NA,SERC,NA
NA,Fagaceae,Quercus stellata,0.6,NA,NA,SERC,NA
NA,Fagaceae,Quercus velutina,0.56,species,26,SERC,NA
NA,Ericaceae,Rhododendron arborescens,0.5,NA,NA,SERC,NA
NA,Anacardiaceae,Rhus typhina,0.5,NA,NA,SERC,NA
NA,Rosaceae,Rosa multiflora,NRA,NA,32,SERC,NA
NA,Salicaceae,Salix nigra,0.36,NA,NA,SERC,NA
NA,Adoxaceae,Sambucus nigra,0.5,NA,NA,SERC,NA
NA,Lauraceae,Sassafras albidum,0.42,NA,41,SERC,NA
NA,Malvaceae,Tilia americana,0.32,NA,NA,SERC,NA
NA,Ulmaceae,Ulmus americana,0.46,NA,NA,SERC,NA
NA,Ulmaceae,Ulmus rubra,0.48,NA,NA,SERC,NA
NA,Ericaceae,Vaccinium corymbosum,0.47,NA,NA,SERC,NA
NA,Ericaceae,Vaccinium sp.,0.47,NA,NA,SERC,NA
NA,Adoxaceae,Viburnum acerifolium,0.83,NA,19,SERC,NA
NA,Adoxaceae,Viburnum dentatum,0.83,NA,19,SERC,NA
NA,Adoxaceae,Viburnum prunifolium,0.83,NA,19,SERC,NA
NA,Sapindaceae,Acer negundo,0.44,NA,NA,Tyson,NA
NA,Sapindaceae,Acer rubrum,0.49,NA,NA,Tyson,NA
NA,Sapindaceae,Acer saccharum,0.56,NA,NA,Tyson,NA
NA,Simaroubaceae,Ailanthus altissima,0.33,NA,NA,Tyson,NA
NA,Rosaceae,Amelanchier arborea,0.66,NA,NA,Tyson,NA
NA,Annonaceae,Asimina triloba,0.47,NA,NA,Tyson,NA
NA,Juglandaceae,Carya cordiformis,0.6,NA,10,Tyson,NA
NA,Juglandaceae,Carya glabra,0.66,NA,10,Tyson,NA
NA,Juglandaceae,Carya ovata,0.62,NA,NA,Tyson,NA
NA,Juglandaceae,Carya sp.,0.62,NA,10,Tyson,NA
NA,Juglandaceae,Carya texana,0.54,NA,10,Tyson,NA
NA,Juglandaceae,Carya tomentosa,0.64,NA,10,Tyson,NA
NA,Cannabaceae,Celtis occidentalis,0.49,NA,NA,Tyson,NA
NA,Cannabaceae,Celtis tenuifolia,0.49,NA,NA,Tyson,NA
NA,Fabaceae,Cercis canadensis,0.63,NA,NA,Tyson,NA
NA,Cornaceae,Cornus drummondii,0.64,NA,NA,Tyson,NA
NA,Cornaceae,Cornus florida,0.64,NA,NA,Tyson,NA
NA,Rosaceae,Crataegus sp.,0.62,NA,NA,Tyson,NA
NA,Ebenaceae,Diospyros virginiana,0.64,NA,NA,Tyson,NA
NA,Rhamnaceae,Frangula caroliniana,0.54,NA,NA,Tyson,NA
NA,Oleaceae,Fraxinus americana,0.51,NA,32,Tyson,NA
NA,Oleaceae,Fraxinus americana,0.51,NA,40,Tyson,NA
NA,Fabaceae,Gleditsia triacanthos,0.6,NA,NA,Tyson,NA
NA,Juglandaceae,Juglans nigra,0.51,NA,NA,Tyson,NA
NA,Cupressaceae,Juniperus virginiana,0.44,NA,NA,Tyson,NA
NA,Lauraceae,Lindera benzoin,0.5,NA,NA,Tyson,NA
NA,Caprifoliaceae,Lonicera maackii,NRA,NA,20,Tyson,NA
NA,Rosaceae,Malus ioensis,0.61,NA,NA,Tyson,NA
NA,Moraceae,Morus rubra,0.59,NA,NA,Tyson,NA
NA,Betulaceae,Ostrya virginiana,0.63,NA,NA,Tyson,NA
NA,Platanaceae,Platanus occidentalis,0.46,NA,NA,Tyson,NA
NA,Rosaceae,Prunus americana,0.47,NA,NA,Tyson,NA
NA,Rosaceae,Prunus serotina,0.47,NA,NA,Tyson,NA
NA,Rosaceae,Prunus sp.,0.47,NA,NA,Tyson,NA
NA,Fagaceae,Quercus alba,0.6,NA,29,Tyson,NA
NA,Fagaceae,Quercus marilandica,0.56,NA,NA,Tyson,NA
NA,Fagaceae,Quercus muehlenbergii,0.6,NA,NA,Tyson,NA
NA,Fagaceae,Quercus rubra,0.56,NA,NA,Tyson,NA
NA,Fagaceae,Quercus sp.,0.6,NA,NA,Tyson,NA
NA,Fagaceae,Quercus stellata,0.6,NA,NA,Tyson,NA
NA,Fagaceae,Quercus velutina,0.56,species,19,Tyson,NA
NA,Fagaceae,Quercus velutina,0.56,species,34,Tyson,NA
NA,Fagaceae,Quercus velutina,0.56,species,26,Tyson,NA
NA,Lauraceae,Sassafras albidum,0.42,NA,41,Tyson,NA
NA,Sapotaceae,Sideroxylon lanuginosum,0.58,NA,NA,Tyson,NA
NA,Malvaceae,Tilia americana,0.32,NA,NA,Tyson,NA
NA,Ulmaceae,Ulmus rubra,0.46,NA,NA,Tyson,NA
NA,Sapindaceae,Acer macrophyllum,0.44,NA,NA,UCSC,NA
NA,Ericaceae,Arbutus menziesii,0.58,NA,31,UCSC,NA
NA,Ericaceae,Arctostaphylos andersonii,0.72,NA,11,UCSC,NA
NA,Ericaceae,Arctostaphylos tomentosa,0.72,NA,11,UCSC,NA
NA,Asteraceae,Baccharis pilularis,NRA,NA,NA,UCSC,NA
NA,Rhamnaceae,Ceanothus thyrsiflorus,0.67,NA,NRA,UCSC,NA
NA,Betulaceae,Corylus cornuta,0.5,NA,NA,UCSC,NA
NA,Rosaceae,Cotoneaster franchetii,0.5,NA,NA,UCSC,NA
NA,Rosaceae,Cotoneaster pannosus,0.5,NA,NA,UCSC,NA
NA,Rosaceae,Crataegus monogyna,0.62,NA,NA,UCSC,NA
NA,Myrtaceae,Eucalyptus globulus,0.68,NA,NA,UCSC,NA
NA,Rosaceae,Heteromeles arbutifolia,0.5,NA,NA,UCSC,NA
NA,Aquifoliaceae,Ilex aquifolium,0.5,NA,NA,UCSC,NA
NA,Fagaceae,Lithocarpus densiflorus,0.56,NA,NA,UCSC,NA
NA,Myricaceae,Morella californica,0.5,NA,NA,UCSC,NA
NA,Pinaceae,Pinus attenuata,0.42,NA,NA,UCSC,NA
NA,Pinaceae,Pinus ponderosa,0.38,NA,NA,UCSC,NA
NA,Pinaceae,Pseudotsuga menziesii,0.45,NA,NA,UCSC,NA
NA,Rosaceae,Pyracantha angustifolia,0.5,NA,NA,UCSC,NA
NA,Fagaceae,Quercus agrifolia,0.6,NA,NA,UCSC,NA
NA,Fagaceae,Quercus parvula,0.59,NA,NA,UCSC,NA
NA,Rhamnaceae,Rhamnus californica,0.5,NA,NA,UCSC,NA
NA,Grossulariaceae,Ribes divaricatum,0.73,NA,NRA,UCSC,NA
NA,Salicaceae,Salix lasiandra,0.36,NA,NA,UCSC,NA
NA,Adoxaceae,Sambucus nigra,0.5,NA,NA,UCSC,NA
NA,Cupressaceae,Sequoia sempervirens,0.36,NA,NA,UCSC,NA
NA,Lauraceae,Umbellularia californica,0.47,NA,14,UCSC,NA
NA,Ericaceae,Vaccinium ovatum,0.47,NA,NRA,UCSC,NA
NA,Pinaceae,Abies balsamea,0.34,NA,NA,Wabikon,NA
NA,Aceraceae,Acer rubrum,0.49,NA,NA,Wabikon,NA
NA,Aceraceae,Acer saccharum,0.56,NA,NA,Wabikon,NA
NA,Aceraceae,Acer spicatum,0.44,NA,41,Wabikon,NA
NA,Betulaceae,Alnus incana,0.37,NA,NA,Wabikon,NA
NA,Rosaceae,Amelanchier laevis,0.66,NA,NA,Wabikon,NA
NA,Rosaceae,Amelanchier sanguinea,0.66,NA,NA,Wabikon,NA
NA,Betulaceae,Betula alleghaniensis,0.55,NA,NA,Wabikon,NA
NA,Betulaceae,Betula papyrifera,0.48,NA,NA,Wabikon,NA
NA,Cornaceae,Cornus alternifolia,0.64,NA,NA,Wabikon,NA
NA,Betulaceae,Corylus cornuta,0.5,NA,NA,Wabikon,NA
NA,Thymelaeaceae,Dirca palustris,0.33,NA,NA,Wabikon,NA
NA,Oleaceae,Fraxinus americana,0.51,NA,32,Wabikon,NA
NA,Oleaceae,Fraxinus americana,0.51,NA,40,Wabikon,NA
NA,Oleaceae,Fraxinus nigra,0.45,NA,NA,Wabikon,NA
NA,Aquifoliaceae,Ilex mucronata,0.5,NA,NA,Wabikon,NA
NA,Aquifoliaceae,Ilex verticillata,0.5,NA,NA,Wabikon,NA
NA,Juglandaceae,Juglans cinerea,0.36,NA,NA,Wabikon,NA
NA,Pinaceae,Larix laricina,0.49,NA,NA,Wabikon,NA
NA,Caprifoliaceae,Lonicera canadensis,NRA,NA,20,Wabikon,NA
NA,Rosaceae,Malus pumila,0.61,NA,NA,Wabikon,NA
NA,Betulaceae,Ostrya virginiana,0.63,NA,NA,Wabikon,NA
NA,Betulaceae,Ostrya virginiana,1.63,NA,NA,Wabikon,NA
NA,Pinaceae,Picea glauca,0.37,NA,NA,Wabikon,NA
NA,Pinaceae,Picea mariana,0.38,NA,NA,Wabikon,NA
NA,Pinaceae,Pinus strobus,0.34,NA,NA,Wabikon,NA
NA,Salicaceae,Populus balsamifera,0.31,NA,NA,Wabikon,NA
NA,Salicaceae,Populus grandidentata,0.36,NA,NA,Wabikon,NA
NA,Salicaceae,Populus tremuloides,0.35,NA,NA,Wabikon,NA
NA,Rosaceae,Prunus pensylvanica,0.5,NA,NA,Wabikon,NA
NA,Rosaceae,Prunus serotina,0.47,NA,NA,Wabikon,NA
NA,Rosaceae,Prunus virginiana,0.47,NA,NA,Wabikon,NA
NA,Fagaceae,Quercus rubra,0.56,NA,NA,Wabikon,NA
NA,Grossulariaceae,Ribes cynosbati,0.73,NA,NA,Wabikon,NA
NA,Adoxaceae,Sambucus racemosa,0.5,NA,NA,Wabikon,NA
NA,Rosaceae,Sorbus americana,0.42,NA,NA,Wabikon,NA
NA,Cupressaceae,Thuja occidentalis,0.29,NA,NA,Wabikon,NA
NA,Malvaceae,Tilia americana,0.32,NA,NA,Wabikon,NA
NA,Pinaceae,Tsuga canadensis,0.38,NA,NA,Wabikon,NA
NA,Ulmaceae,Ulmus americana,0.46,NA,NA,Wabikon,NA
NA,Pinaceae,Abies amabilis,0.4,NA,NA,Wind River,NA
NA,Pinaceae,Abies grandis,0.35,NA,12,Wind River,NA
NA,Pinaceae,Abies grandis,0.35,NA,15,Wind River,NA
NA,Pinaceae,Abies procera,0.37,NA,NA,Wind River,NA
NA,Pinaceae,Abies sp.,0.36,NA,NA,Wind River,NA
NA,Sapindaceae,Acer circinatum,NRA,NA,NA,Wind River,NA
NA,Sapindaceae,Acer glabrum,0.44,NA,NA,Wind River,NA
NA,Betulaceae,Alnus rubra,0.37,NA,NA,Wind River,NA
NA,Rosaceae,Amelanchier alnifolia,0.66,NA,NA,Wind River,NA
NA,Cornaceae,Cornus nuttallii,0.58,NA,NA,Wind River,NA
NA,Betulaceae,Corylus cornuta,0.5,NA,NA,Wind River,NA
NA,Ericaceae,Gaultheria shallon,0.5,NA,NA,Wind River,NA
NA,Rosaceae,Holodiscus discolor,0.71,NA,NRA,Wind River,NA
NA,Caprifoliaceae,Lonicera ciliosa,NRA,NA,20,Wind River,NA
NA,Ericaceae,Menziesia ferruginea,0.5,NA,NA,Wind River,NA
NA,Rosaceae,Oemleria cerasiformis,0.5,NA,NA,Wind River,NA
NA,Pinaceae,Pinus monticola,0.35,NA,NA,Wind River,NA
NA,Pinaceae,Pseudotsuga menziesii,0.45,NA,NA,Wind River,NA
NA,Rhamnaceae,Rhamnus purshiana,0.5,NA,NA,Wind River,NA
NA,Ericaceae,Rhododendron macrophyllum,0.5,NA,NA,Wind River,NA
NA,Rosaceae,Rosa gymnocarpa,NRA,NA,32,Wind River,NA
NA,Rosaceae,Rubus leucodermis,NRA,NA,NRA,Wind River,NA
NA,Rosaceae,Rubus spectabilis,NRA,NA,NRA,Wind River,NA
NA,Taxaceae,Taxus brevifolia,0.6,NA,NA,Wind River,NA
NA,Cupressaceae,Thuja plicata,0.31,NA,NA,Wind River,NA
NA,Pinaceae,Tsuga heterophylla,0.42,NA,8,Wind River,NA
NA,Ericaceae,Vaccinium membranaceum,0.47,NA,NRA,Wind River,NA
NA,Ericaceae,Vaccinium ovalifolium,0.47,NA,NRA,Wind River,NA
NA,Ericaceae,Vaccinium parvifolium,0.47,NA,NRA,Wind River,NA
NA,Sapindaceae,Acer campestre,0.53,NA,NA,Wytham Woods,NA
NA,Sapindaceae,Acer pseudoplatanus,0.48,NA,NA,Wytham Woods,NA
NA,Betulaceae,Betula sp.,0.55,NA,NA,Wytham Woods,NA
NA,Betulaceae,Carpinus betulus,0.53,NA,NA,Wytham Woods,NA
NA,Fagaceae,Castanea sativa,0.5,NA,NA,Wytham Woods,NA
NA,Cornaceae,Cornus sanguinea,0.58,NA,NA,Wytham Woods,NA
NA,Betulaceae,Corylus avellana,0.52,NA,NA,Wytham Woods,NA
NA,Rosaceae,Crataegus monogyna,0.62,NA,NA,Wytham Woods,NA
NA,Celastraceae,Euonymus europaeus,0.6,NA,NA,Wytham Woods,NA
NA,Fagaceae,Fagus sylvatica,0.53,NA,NA,Wytham Woods,NA
NA,Rhamnaceae,Frangula alnus,0.59,NA,NA,Wytham Woods,NA
NA,Oleaceae,Fraxinus excelsior,0.49,NA,NA,Wytham Woods,NA
NA,Aquifoliaceae,Ilex aquifolium,0.61,NA,NA,Wytham Woods,NA
NA,Pinaceae,Larix decidua,0.45,NA,NA,Wytham Woods,NA
NA,Pinaceae,Picea abies,0.32,NA,NA,Wytham Woods,NA
NA,Pinaceae,Pinus sylvatica,0.53,NA,NA,Wytham Woods,NA
NA,Rosaceae,Prunus avium,0.48,NA,NA,Wytham Woods,NA
NA,Rosaceae,Prunus spinosa,0.7,NA,NA,Wytham Woods,NA
NA,Pinaceae,Pseudotsuga menziesii,0.45,NA,NA,Wytham Woods,NA
NA,Fagaceae,Quercus robur,0.53,NA,NA,Wytham Woods,NA
NA,Salicaceae,Salix sp.,0.36,NA,NA,Wytham Woods,NA
NA,Adoxaceae,Sambucus nigra,0.5,NA,NA,Wytham Woods,NA
NA,Taxaceae,Taxus baccata,0.55,NA,NA,Wytham Woods,NA
NA,Malvaceae,Tilia x europaea,0.32,NA,NA,Wytham Woods,NA
NA,Pinaceae,Abies concolor,0.37,NA,NA,Yosemite,NA
NA,Pinaceae,Abies magnifica,0.37,NA,NA,Yosemite,NA
NA,Pinaceae,Abies sp.,0.36,NA,NA,Yosemite,NA
NA,Ericaceae,Arctostaphylos patula,0.72,NA,NRA,Yosemite,NA
NA,Cupressaceae,Calocedrus decurrens,0.35,NA,NA,Yosemite,NA
NA,Rhamnaceae,Ceanothus cordulatus,0.67,NA,NRA,Yosemite,NA
NA,Rhamnaceae,Ceanothus integerrimus,0.67,NA,NRA,Yosemite,NA
NA,Rhamnaceae,Ceanothus parvifolius,0.67,NA,NRA,Yosemite,NA
NA,Fagaceae,Chrysolepis sempervirens,0.42,NA,40,Yosemite,NA
NA,Cornaceae,Cornus nuttallii,0.58,NA,NA,Yosemite,NA
NA,Cornaceae,Cornus sericea,0.58,NA,41,Yosemite,NA
NA,Betulaceae,Corylus cornuta subsp. californica,0.5,NA,NA,Yosemite,NA
NA,Rosaceae,Holodiscus discolor,0.71,NA,NRA,Yosemite,NA
NA,Ericaceae,Leucothoe davisiae,0.405,NA,40,Yosemite,NA
NA,Pinaceae,Pinus lambertiana,0.34,NA,NA,Yosemite,NA
NA,Pinaceae,Pinus ponderosa,0.38,NA,NA,Yosemite,NA
NA,Rosaceae,Prunus emarginata,0.47,NA,NA,Yosemite,NA
NA,Rosaceae,Prunus virginiana,0.47,NA,NA,Yosemite,NA
NA,Pinaceae,Pseudotsuga menziesii,0.45,NA,NA,Yosemite,NA
NA,Rhamnaceae,Rhamnus californica,0.5,NA,NA,Yosemite,NA
NA,Ericaceae,Rhododendron occidentale,0.5,NA,NA,Yosemite,NA
NA,Grossulariaceae,Ribes nevadaense,NRA,NA,NRA,Yosemite,NA
NA,Grossulariaceae,Ribes roezlii,NRA,NA,NRA,Yosemite,NA
NA,Salicaceae,Salix scouleriana,0.36,NA,NA,Yosemite,NA
NA,Salicaceae,Salix sp.,0.36,NA,NA,Yosemite,NA
