site,family,species,species_code,life_form,wsg,wsg_id,wsg_specificity,a,b,c,d,dbh_min_cm,dbh_max_cm,sample_size,dbh_units_original,biomass_units_original,allometry_development_method,site_dbh_unit,equation_id,equation_form,equation_allometry,equation_grouping,independent_variable,regression_model,other_equations_tested,log_biomass,bias_corrected,bias_correction_factor,notes_fitting_model,dependent_variable_biomass_component,allometry_specificity,development_species,geographic_area,biomass_equation_source,ref_id,wsg_source,ref_wsg_id,original_data_availability,notes_to_consider,warning
Lilly Dicky,Oleaceae,Fraxinus americana,541,Tree,0.51,,,1.2784,1.4248,2,,0.5,6.14,40,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(1.2784+1.4248*(log10(dbh^2))),E,DBH,,,,1,1.015,,Whole tree (above stump),Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Oleaceae,Fraxinus pennsylvanica,544,Tree,0.53,,,3.203,-0.234,0.006,2,25,550,,mm,kg,harvest,mm,,a+(b*DBH)+c*(DBH^d),3.203+(-0.234*dbh)+0.006*(dbh^2),E,DBH,,,,0,NA,,Whole tree (above stump),Species,Fraxinus americana,New York,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Hamamelidaceae,Hamamelis virginiana,498,Shrub,0.71,,,38.111,2.9,,,0.18,4.31,21,cm,g,harvest,mm,,a*(DBA^b),38.111*(dba^2.9),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,,Canada,Smith et al. 1983,,Jenkins et al. 2004,,,DBA= stem basal diameter,Make sure to use shrub function in this package
Lilly Dicky,Cupressaceae,Juniperus virginiana,68,Tree,0.44,,,0.1632,2.2454,,,14,43,,cm,kg,harvest,mm,,a*(DBH^b),0.1632*(dbh^2.2454),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Tennessee,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Lauraceae,Lindera benzoin,609,Shrub,0.5,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Lilly Dicky,Magnoliaceae,Liriodendron tulipifera,621,Tree,0.4,,,0.8306,2.7308,2,,0.42,8.53,,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(0.8306+2.7308*(log10(dbh^2))),E,DBH,,,,1,1.014,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Nyssaceae,Nyssa sylvatica,693,Tree,0.46,,,1.1468,2.363,2,,0.24,6.72,,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(1.1468+2.363*(log10(dbh^2))),E,DBH,,,,1,1.006,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Betulaceae,Ostrya virginiana,701,Tree,0.63,,,4.97,2.34,1,,1,9,,cm,g,harvest,mm,,exp(a+b*DBH+c*(ln(DBH))),exp(4.97+2.34*dbh+1*log(dbh)),E,DBH,,,,1,0,,Stem and branches (live),Species,,New Hampshire,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Betulaceae,Ostrya virginiana,701,Tree,0.63,,,1.92,1.86,1,,1,9,,cm,g,harvest,mm,,exp(a+b*DBH+c*(ln(DBH))),exp(1.92+1.86*dbh+1*log(dbh)),E,DBH,,,,1,0,,Foliage total,Species,,New Hampshire,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Paulowniaceae,Paulownia tomentosa,712,Tree,0.38,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Rosaceae,Prunus serotina,762,Tree,0.47,,,1.1981,2.34,,,0.37,6.83,,cm,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(1.1981+2.34*(log10(dbh))),E,DBH,,,,1,1.017,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Fagaceae,Quercus alba,802,Tree,0.6,,,1.5647,2.6887,,,5.08,50.8,29,in,lb,harvest,mm,,a*(DBH^b),1.5647*(dbh^2.6887),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Fagaceae,Quercus coccinea,806,Tree,0.6,,,2.65743,2.43948,,,5.08,40.64,,in,lb,harvest,mm,,a*(DBH^b),2.65743*(dbh^2.43948),E,DBH,,,,0,NA,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Fagaceae,Quercus prinus,832,Tree,0.57,,,1.5509,2.7276,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.5509*(dbh^2.7276),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Fagaceae,Quercus rubra,833,Tree,0.56,,,2.4601,2.4572,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),2.4601*(dbh^2.4572),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Fagaceae,Quercus velutina,837,Tree,0.56,,species,2.1457,2.503,,,5.08,40.64,19,in,lb,harvest,mm,,a*(DBH^b),2.1457*(dbh^2.503),E,DBH,linear,a+(b*DBH^2); a+(b*DBH+DBH^2),0,0,NRA,"Although there are more sophisticated statistical procedures, models providing the best R^ -values (or r^) were accepted and are given with their standard errors and standard errors as a percent of the W-means.",Whole tree (above stump),Species,,West Virginia,Wiant et al. 1977,,"Clark and Schroeder, 1986",,,,
Lilly Dicky,Fagaceae,Quercus velutina,837,Tree,0.56,,species,1.3069,2.34,2,,0.55,7.76,34,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(1.3069+2.34*(log10(dbh^2))),E,DBH,linear,,1,1,1.006,,Total aboveground biomass,Species,,Ohio,Williams and McClenahan 1984,,"Clark and Schroeder, 1986",,,,
Lilly Dicky,Fagaceae,Quercus velutina,837,Tree,0.56,,species,1.00005,2.10621,,,30.48,88.9,26,in,lb,harvest,mm,,10^(a+b*(log10(DBH))),10^(1.00005+2.10621*(log10(dbh))),E,DBH,linear,,1,0,NRA,,Whole tree (above and belowground),Species,,"North Carolina, Kentucky, Tennessee",Jenkins et al. 2004,,"Clark and Schroeder, 1986",,0,Unable to locate orignal publication,No specific location of sampled trees is given in publication. Geographic area may be too broad.
Lilly Dicky,Anacardiaceae,Rhus typhina,899,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Fabaceae,Robinia pseudoacacia,901,Tree,0.6,,species,4.13741,1.08876,,,14.22,25.91,9,in,lb,harvest,mm,,a*(DBH^2)^b,4.13741*(dbh^2)^1.08876,E,DBH,linear_multiple,NRA,1,1,included in model,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure. ",Stem and branches (live),Species,,"North Carolina, Georgia","Clark and Schroeder, 1986",,"Clark and Schroeder, 1986",,1,,
Lilly Dicky,Fabaceae,Robinia pseudoacacia,901,Tree,0.66,,species,1.04649,1.37539,,,29.46,41.66,9,in,lb,harvest,mm,,a*(DBH^2)^b,1.04649*(dbh^2)^1.37539,E,DBH,linear_multiple,NRA,1,1,included in model,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure. ",Stem and branches (live),Species,,"North Carolina, Georgia","Clark and Schroeder, 1986",,"Clark and Schroeder, 1986",,1,,
Lilly Dicky,Lauraceae,Sassafras albidum,931,Tree,0.42,,,1.3539,2.7308,2,,0.4,8.49,41,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(1.3539+2.7308*(log10(dbh^2))),E,DBH,linear,,1,1,1.004,,Whole tree (above stump),Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,Equation built for seedlings and saplings
Lilly Dicky,Malvaceae,Tilia americana,951,Tree,0.32,,,1.4416,2.7324,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.4416*(dbh^2.7324),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Ulmaceae,Ulmus americana,972,Tree,0.46,,,0.08248,2.468,,,2.5,40,,cm,kg,harvest,mm,,a*(DBH^b),0.08248*(dbh^2.468),E,DBH,,,,0,NA,,Whole tree (above stump),Species,,North Central States,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Lilly Dicky,Ulmaceae,Ulmus rubra,975,Tree,0.48,,,0.08248,2.468,,,2.5,40,,cm,kg,harvest,mm,,a*(DBH^b),0.08248*(dbh^2.468),E,DBH,,,,0,NA,,Whole tree (above stump),Species,Ulmus americana,North Central States,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Aceraceae,Acer negundo,acne,Tree,0.44,,,-2.047,2.3852,,,3,66,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.047+2.3852*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SCBI,Aceraceae,Acer platanoides,acpl,Tree,0.44,,,-2.047,2.3852,,,3,66,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.047+2.3852*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SCBI,Aceraceae,Acer rubrum,acru,Tree,0.49,,,4.5893,2.43,,,1,55,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(4.5893+2.43*log(dbh)),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Eastern U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Simaroubaceae,Ailanthus altissima,aial,Tree,0.33,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Rosaceae,Amelanchier arborea,amar,Tree,0.66,,,7.217,1.514,,,8.9,25.4,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(7.217+1.514*log(dbh)),E,DBH,,,,1,included in model,,Stem biomass (with bark),Genus,,Tennessee,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Rosaceae,Amelanchier arborea,amar,Tree,0.66,,,2.5368,1.3197,,,5,45,,in,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(2.5368+1.3197*(log10(dbh))),E,DBH,,,,0,NA,,"Branches (live, dead)",Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Rosaceae,Amelanchier arborea,amar,Tree,0.66,,,2.0865,0.9449,,,5,45,,in,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(2.0865+0.9449*(log10(dbh))),E,DBH,,,,0,NA,,Foliage total,Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Annonaceae,Asimina triloba,astr,Tree,0.47,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Berberidaceae,Berberis thunbergii,beth,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Betulaceae,Carpinus caroliniana,caca,Tree,0.58,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Juglandaceae,Carya cordiformis,caco,Tree,0.6,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
SCBI,Juglandaceae,Carya glabra,cagl,Tree,0.66,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
SCBI,Juglandaceae,Carya ovalis,caovl,Tree,0.62,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
SCBI,Juglandaceae,Carya tomentosa,cato,Tree,0.64,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Castanea dentata,cade,Tree,0.4,,,-2.0705,2.441,,,3,89,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.0705+2.441*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SCBI,Cannabaceae,Celtis occidentalis,ceoc,Tree,0.49,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fabaceae,Cercis canadensis,ceca,Tree,0.63,,,-2.5095,2.5437,,,4,42,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SCBI,Oleaceae,Chionanthus virginicus,chvi,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Cornaceae,Cornus alternifolia,coal,Tree,0.64,,,3.08355,1.14915,,,2.54,12.45,,in^2,lb,harvest,mm,,a*(DBH^2)^b,3.08355*(dbh^2)^1.14915,E,DBH,,,,0,NA,,Total aboveground biomass,Species,Cornus florida,Southeast U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Cornaceae,Cornus florida,cofl,Tree,0.64,,,3.08355,1.14915,,,2.54,12.45,,in^2,lb,harvest,mm,,a*(DBH^2)^b,3.08355*(dbh^2)^1.14915,E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Southeast U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Betulaceae,Corylus americana,coam,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Rosaceae,Crataegus pruinosa,crpr,Shrub,0.62,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SCBI,Ebenaceae,Diospyros virginiana,divi,Tree,0.64,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Elaeagnaceae,Elaeagnus umbellata,elum,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Celastraceae,Euonymus alatus,eual,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Fagus grandifolia,fagr,Tree,0.56,,,2.0394,2.5715,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),2.0394*(dbh^2.5715),E,DBH,,,,1,included in model,,Stem and branches (live),Species ,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Oleaceae,Fraxinus americana,fram,Tree,0.51,,,2.3626,2.4798,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),2.3626*(dbh^2.4798),E,DBH,,,,0,NA,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Oleaceae,Fraxinus nigra,frni,Tree,0.45,,,0.1634,2.348,,,4,32,,cm,kg,harvest,mm,,a*(DBH^b),0.1634*(dbh^2.348),E,DBH,,,,1,included in model,,Total aboveground biomass,Species,,Upper Great Lakes,"Ter-Mikaelian, 1997 ",,Jenkins et al. 2004,,,,
SCBI,Oleaceae,Fraxinus pennsylvanica,frpe,Tree,0.53,,,0.1634,2.348,,,4,32,,cm,kg,harvest,mm,,a*(DBH^b),0.1634*(dbh^2.348),E,DBH,,,,1,included in model,,Total aboveground biomass,Species,Fraxinus nigra,Gulf and Atlantic Coastal Plains,"Ter-Mikaelian, 1997 ",,Jenkins et al. 2004,,,,
SCBI,Hamamelidaceae,Hamamelis virginiana,havi,Shrub,0.71,,,38.111,2.9,,,0.18,4.31,21,cm,g,harvest,mm,,a*(DBA^b),38.111*(dba^2.9),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,,Canada,Smith et al. 1983,,Jenkins et al. 2004,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SCBI,Aquifoliaceae,Ilex verticillata,ilve,Shrub,0.5,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SCBI,Juglandaceae,Juglans cinerea,juci,Tree,0.36,,,-2.5095,2.5437,,,4,42,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SCBI,Juglandaceae,Juglans nigra,juni,Tree,0.51,,,-2.5095,2.5437,,,4,42,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SCBI,Lauraceae,Lindera benzoin,libe,Shrub,0.5,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
